DB00OBJ;Feld;Klartext von;Klartext transformieren;negativ;positiv
DB001002.DBF;VST;;;;BST
DB001002.DBF;BST;;;;VST
DB001004.DBF;VST;;;;BST
DB001004.DBF;BST;;;;VST
DB001005.DBF;VST;;;;BST
DB001005.DBF;BST;;;;VST
DB001006.DBF;VST;;;;BST
DB001006.DBF;BST;;;;VST
DB001006.DBF;RLAGEVST;RLAGEVST;142;;
DB001006.DBF;RABSTBAVST;;;RABSTBAVST;
DB001006.DBF;LAGEBW;LAGEBW;510;;
DB001007.DBF;VST;;;;BST
DB001007.DBF;BST;;;;VST
DB001009.DBF;VST;;;;BST
DB001009.DBF;BST;;;;VST
DB001010.DBF;VST;;;;BST
DB001010.DBF;BST;;;;VST
DB001010.DBF;UEBERDVST;;;;UEBERDBST
DB001010.DBF;UEBERDBST;;;;UEBERDVST
DB001010.DBF;RABSTBAVST;;;RABSTBABST;
DB001010.DBF;RABSTBABST;;;RABSTBAVST;
DB001010.DBF;LAGE;LAGE;517;;
DB001011.DBF;VST;;;;BST
DB001011.DBF;BST;;;;VST
DB001011.DBF;GEGRICHT;;;;INRICHT
DB001011.DBF;INRICHT;;;;GEGRICHT
DB001013.DBF;VST;;;;BST
DB001013.DBF;BST;;;;VST
DB001013.DBF;RABSTBAVST;;;RABSTBABST;
DB001013.DBF;RABSTBABST;;;RABSTBAVST;
DB001013.DBF;RLAGEVST;RLAGEBST;142;;
DB001013.DBF;RLAGEBST;RLAGEVST;142;;
DB001013.DBF;LAGE;LAGE;528;;
DB001017.DBF;VST;;;;BST
DB001017.DBF;BST;;;;VST
DB001017.DBF;RLAGEVST;RLAGEVST;142;;
DB001017.DBF;RABSTBAVST;;;RABSTBABST;
DB001017.DBF;RABSTBABST;;;RABSTBAVST;
DB001018.DBF;VST;;;;BST
DB001018.DBF;BST;;;;VST
DB001018.DBF;INSTATRI;;NullEins;;
DB001019.DBF;VST;;;;BST
DB001019.DBF;BST;;;;VST
DB001020.DBF;VST;;;;BST
DB001020.DBF;BST;;;;VST
DB001021.DBF;VST;;;;BST
DB001021.DBF;BST;;;;VST
DB001023.DBF;VST;;;;BST
DB001023.DBF;BST;;;;VST
DB001025.DBF;VST;;;;BST
DB001025.DBF;BST;;;;VST
DB001025.DBF;RABSTBAVST;;;RABSTBAVST;
DB001025.DBF;RLAGEVST;RLAGEVST;142;;
DB001030.DBF;VST;;;;BST
DB001030.DBF;BST;;;;VST
DB001030.DBF;STREIFEN;;STREIFEN1030;;STREIFEN
DB001030.DBF;BREITE;;;;BISBREITE
DB001030.DBF;BISBREITE;;;;BREITE
DB001031.DBF;VST;;;;BST
DB001031.DBF;BST;;;;VST
DB001037.DBF;VST;;;;BST
DB001037.DBF;BST;;;;VST
DB001038.DBF;VST;;;;BST
DB001038.DBF;BST;;;;VST
DB001040.DBF;VST;;;;BST
DB001040.DBF;BST;;;;VST
DB001040.DBF;FSLAGE;FSLAGE;553;;
DB001041.DBF;VST;;;;BST
DB001041.DBF;BST;;;;VST
DB001041.DBF;FSLAGE;FSLAGE;553;;
DB001042.DBF;VST;;;;BST
DB001042.DBF;BST;;;;VST
DB001042.DBF;FSLAGE;FSLAGE;553;;
DB001043.DBF;VST;;;;BST
DB001043.DBF;BST;;;;VST
DB001043.DBF;RABSTBAVST;;;RABSTBAVST;
DB001043.DBF;RLAGEVST;RLAGEVST;142;;
DB001044.DBF;VST;;;;BST
DB001044.DBF;BST;;;;VST
DB001044.DBF;RICHTUNG;RICHTUNG;653;;
DB001045.DBF;VST;;;;BST
DB001045.DBF;BST;;;;VST
DB001046.DBF;VST;;;;BST
DB001046.DBF;BST;;;;VST
DB001046.DBF;RABSTBAVST;;;RABSTBAVST;
DB001046.DBF;RLAGEVST;RLAGEVST;142;;
DB001046.DBF;LAGE;LAGE;574;;
DB001047.DBF;VST;;;;BST
DB001047.DBF;BST;;;;VST
DB001048.DBF;VST;;;;BST
DB001048.DBF;BST;;;;VST
DB001049.DBF;VST;;;;BST
DB001049.DBF;BST;;;;VST
DB001049.DBF;RABSTBAVST;;;RABSTBAVST;
DB001049.DBF;RLAGEVST;RLAGEVST;142;;
DB001049.DBF;LAGE;LAGE;577;;
DB001050.DBF;VST;;;;BST
DB001050.DBF;BST;;;;VST
DB001050.DBF;RLAGEVST;;142;;
DB001051.DBF;VST;;;;BST
DB001051.DBF;BST;;;;VST
DB001053.DBF;VST;;;;BST
DB001053.DBF;BST;;;;VST
DB001053.DBF;RBEZUG;RBEZUG;NullEins;;
DB001054.DBF;VRICHTUNG;;588;;
DB001054.DBF;RKENN;RKENN;Richtung1054;;
DB001054.DBF;RKENNFR;RKENNFR;RichtungK1054;;
DB001055.DBF;VST;;;;BST
DB001055.DBF;BST;;;;VST
DB001056.DBF;VST;;;;BST
DB001056.DBF;BST;;;;VST
DB001057.DBF;VST;;;;BST
DB001057.DBF;BST;;;;VST
DB001057.DBF;RBEZUG;RBEZUG;674;;
DB001058.DBF;VST;;;;BST
DB001058.DBF;BST;;;;VST
DB001058.DBF;RABSTBAVST;;;RABSTBAVST;
DB001058.DBF;RLAGEVST;RLAGEVST;142;;
DB001058.DBF;INRICHTUNG;;Richtung1058;;
DB001058.DBF;LAGE;LAGE;649;;
DB001059.DBF;VST;;;;BST
DB001059.DBF;BST;;;;VST
